data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,210063846,214966607,16,
2024,210063851,214966611,24,
2024,210063852,214966612,13,
2024,210063858,214966618,3,
2024,210063860,214966620,13,
2024,210063861,214966620,19,
2024,210063862,214966621,24,
2024,210063862,214966622,24,
2024,210063862,214966623,24,
2024,210063863,214966621,24,
2024,210063863,214966622,24,
2024,210063863,214966623,24,
2024,210063865,214966624,1,
2024,210063870,214966629,21,
2024,210063873,214966632,9,
2024,210063880,214966639,1,
2024,210063880,214966640,1,
2024,210063882,214966642,24,
2024,210063883,214966643,17,
2024,210063884,214966643,17,
2024,210063885,214966644,1,
2024,210063885,214966645,3,
2024,210063886,214966644,1,
2024,210063886,214966645,1,
2024,210063892,214966651,26,
2024,210063894,214966653,16,
2024,210063895,214966653,16,
2024,210063897,214966655,17,
2024,210063901,214966658,1,
2024,210063902,214966659,26,
2024,210063903,214966660,17,
2024,210063905,214966662,1,
