state_abbr,state_name,county_name,latitude,longitude,Population_2024,Arrests_2024,Violent_Crimes_2024,Property_Crimes_2024,Arrest_Rate,Violent_Crime_Rate,Property_Crime_Rate
VA,Virginia,PRINCE GEORGE,37.204739000000004,-77.2533015,43136.0,966,141,359.0,2239.4287833827893,326.8731454005935,832.2514836795252
VA,Virginia,PRINCE WILLIAM,38.6462875,-77.38631116666666,495741.0,9902,1277,7279.0,1997.41397221533,257.59418728731333,1468.3070393612795
VA,Virginia,PULASKI,37.05946725,-80.729578,33865.0,1640,99,590.0,4842.758009744574,292.3372213199469,1742.211723017865
VA,Virginia,RADFORD CITY,37.131813,-80.57882,17399.0,432,38,158.0,2482.9013161675957,218.4033565147422,908.0981665612966
VA,Virginia,RAPPAHANNOCK,38.692057500000004,-77.978779,7504.0,142,11,22.0,1892.3240938166314,146.58848614072497,293.17697228144993
VA,Virginia,RICHMOND,37.942894,-76.730561,9346.0,109,17,32.0,1166.274341964477,181.89599828803767,342.39246736571795
VA,Virginia,RICHMOND CITY,37.545868,-77.44456,231805.0,3388,809,7511.0,1461.573305148724,349.0002372683937,3240.223463687151
VA,Virginia,ROANOKE,37.310245333333334,-80.03669333333333,97813.0,2615,205,1148.0,2673.4687618210255,209.58359318291025,1173.6681218242975
VA,Virginia,ROANOKE CITY,37.278458,-79.958174,97027.0,2865,602,3995.0,2952.7863378234924,620.4458552773971,4117.410617663125
VA,Virginia,ROCKBRIDGE,37.80397225,-79.4414195,22434.0,839,40,205.0,3739.8591423731837,178.3007934385308,913.7915663724704
VA,Virginia,ROCKINGHAM,38.48335133333333,-78.84707144444445,88198.0,2250,85,494.0,2551.0782557427606,96.37406743917096,560.1034037052995
VA,Virginia,RUSSELL,36.93342,-82.095934,25423.0,1225,75,261.0,4818.471462848602,295.0084569090981,1026.6294300436612
VA,Virginia,"RUSSELL, WISE",36.974561,-82.62156,830.0,34,0,27.0,4096.385542168675,0.0,3253.012048192771
VA,Virginia,SALEM CITY,37.285333,-80.055241,25866.0,721,10,393.0,2787.4429753344157,38.66079022655223,1519.3690559035026
VA,Virginia,SCOTT,36.649197,-82.46814574999999,21547.0,810,43,319.0,3759.2240219056016,199.5637443727665,1480.484522207268
VA,Virginia,SHENANDOAH,38.82804533333333,-78.5472405,45907.0,713,70,399.0,1553.140044002004,152.48219225826128,869.1484958720891
VA,Virginia,SMYTH,36.83651375,-81.532048,27649.0,1236,53,299.0,4470.324424029802,191.6886686679446,1081.413432673876
VA,Virginia,"SMYTH, WASHINGTON",36.842318,-81.539786,1766.0,65,1,9.0,3680.634201585504,56.62514156285391,509.62627406568515
VA,Virginia,SOUTHAMPTON,36.7030525,-77.050433,18122.0,260,21,169.0,1434.7202295552368,115.88124931023066,932.5681492109038
VA,Virginia,SPOTSYLVANIA,38.224258,-77.57567499999999,153892.0,2153,355,911.0,1399.0330881397342,230.68125698541834,591.9735918696229
VA,Virginia,STAFFORD,38.3407955,-77.474971,169369.0,3720,390,1300.0,2196.387768718006,230.26645962366194,767.5548654122065
VA,Virginia,STAUNTON CITY,38.158056,-79.061501,26151.0,1694,38,409.0,6477.763756644106,145.3099307865856,1563.993728729303
VA,Virginia,SUFFOLK CITY,36.697157,-76.634781,103506.0,2432,386,1644.0,2349.622244121114,372.92524104882807,1588.3137209437132
VA,Virginia,SURRY,37.119761,-76.880172,6658.0,35,4,39.0,525.6833884049264,60.07810153199159,585.761489936918
VA,Virginia,SUSSEX,36.926645,-77.259732,10831.0,159,25,109.0,1468.0084941371988,230.8189456190564,1006.3706028990858
VA,Virginia,TAZEWELL,37.12000285714286,-81.591684,39000.0,1485,70,529.0,3807.6923076923076,179.48717948717947,1356.4102564102566
VA,Virginia,UNMAPPED COUNTY,37.531399,-77.476009,0.0,0,0,0.0,0.0,0.0,0.0
VA,Virginia,VIRGINIA BEACH CITY,36.7545,-76.05844,455155.0,7846,440,7575.0,1723.8083729718446,96.67036504048072,1664.2682163219124
VA,Virginia,WARREN,38.983761666666666,-78.19835033333334,42527.0,1552,81,448.0,3649.4462341571234,190.467232581654,1053.448397488654
VA,Virginia,WASHINGTON,36.7284798,-81.9789516,54359.0,1484,80,667.0,2729.9987122647585,147.16974190106512,1227.0277231001305
VA,Virginia,WAYNESBORO CITY,38.067157,-78.90142,23673.0,877,58,365.0,3704.6424196341827,245.0048578549402,1541.8409158112618
VA,Virginia,WESTMORELAND,38.160421,-76.86328866666666,19333.0,389,30,111.0,2012.1036569596029,155.1750892256763,574.1478301350023
VA,Virginia,WILLIAMSBURG CITY,37.275173,-76.70898,16098.0,671,31,198.0,4168.21965461548,192.57050565287614,1229.9664554603057
VA,Virginia,WINCHESTER CITY,39.185524,-78.16138,27700.0,1824,66,649.0,6584.837545126354,238.26714801444047,2342.9602888086642
VA,Virginia,WISE,36.95861371428572,-82.64291,34481.0,1653,53,389.0,4793.94449116905,153.70783909979409,1128.1575360343377
VA,Virginia,WYTHE,36.901471,-81.084209,28248.0,753,25,354.0,2665.6754460492775,88.50184083828944,1253.1860662701786
VA,Virginia,YORK,37.220914,-76.395533,71747.0,1478,138,950.0,2060.0164466806978,192.3425369701869,1324.097174794765
VT,Vermont,ADDISON,44.0490986,-73.1349246,37813.0,437,39,231.0,1155.6871975246609,103.13913204453495,610.9010128791685
